"","player_name","drives","drive_fta","drive_pts","drive_fg_pct"
"544","TyTy Washington Jr.","6","0","0","0"
"545","Tyler Herro","416","37","245","0.553"
"546","Tyrese Haliburton","795","83","437","0.565"
"547","Tyrese Maxey","877","148","649","0.46"
"548","Tyus Jones","465","16","318","0.528"
"549","Udoka Azubuike","2","0","4","1"
"550","Usman Garuba","0","0","0","0"
"551","Vasilije Micic","407","26","171","0.532"
"552","Victor Wembanyama","306","54","158","0.444"
"553","Vince Williams Jr.","264","40","102","0.442"
"554","Vit Krejci","51","0","16","0.667"
"555","Walker Kessler","3","0","0","0"
"556","Wendell Carter Jr.","52","8","29","0.462"
"557","Wendell Moore Jr.","12","0","6","0.6"
"558","Wenyen Gabriel","9","2","4","0.333"
"559","Wesley Matthews","38","2","17","0.421"
"560","Xavier Moon","4","0","2","0.333"
"561","Xavier Tillman","64","6","30","0.412"
"562","Yuta Watanabe","43","10","17","0.429"
"563","Zach Collins","128","22","94","0.456"
"564","Zach LaVine","243","39","144","0.534"
"565","Zavier Simpson","2","0","0","0"
"566","Zeke Nnaji","18","2","10","0.364"
"567","Ziaire Williams","122","16","68","0.371"
"568","Zion Williamson","1070","226","788","0.521"
